CAMPAIGN,SUBCAMPAING,PHYS_GROUP,PROJECT,STEP,REQUEST,STATUS,TASK_ID,TASKNAME,HASHTAG_LIST,EVENTS_TOTAL,T_EVENTS_REQUESTED,T_STAMP
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194900,mc16_13TeV.301051.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2250M2500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-30 12:16:27.756994
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11036728,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_s3136_r9280,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-03-26 15:14:07.648803
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11036730,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_s3136_r9280,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",299800,0,2017-06-30 12:16:22.932950
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189681,mc16_13TeV.301040.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_120M180.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.359049
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189685,mc16_13TeV.301041.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_180M250.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.360349
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189689,mc16_13TeV.301042.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_250M400.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.360960
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189694,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.361794
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189698,mc16_13TeV.301044.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_600M800.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.363254
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189702,mc16_13TeV.301045.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_800M1000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.364206
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189706,mc16_13TeV.301046.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1000M1250.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.364638
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189711,mc16_13TeV.301047.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1250M1500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.365540
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189715,mc16_13TeV.301048.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1500M1750.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",115000,0,2017-06-30 12:16:27.366317
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189719,mc16_13TeV.301049.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1750M2000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",80000,0,2017-06-30 12:16:27.366873
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189723,mc16_13TeV.301050.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2000M2250.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.367726
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189728,mc16_13TeV.301051.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2250M2500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",115000,0,2017-06-30 12:16:27.368185
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189732,mc16_13TeV.301052.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2500M2750.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",115000,0,2017-06-30 12:16:27.368814
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189736,mc16_13TeV.301053.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2750M3000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",115000,0,2017-06-30 12:16:27.369354
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189740,mc16_13TeV.301054.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3000M3500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",115000,0,2017-06-30 12:16:27.369744
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189745,mc16_13TeV.301055.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3500M4000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",135000,0,2017-06-30 12:16:27.370298
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189749,mc16_13TeV.301056.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4000M4500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",105000,0,2017-06-30 12:16:27.370901
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189753,mc16_13TeV.301057.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4500M5000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",115000,0,2017-06-30 12:16:27.371397
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189757,mc16_13TeV.301058.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_5000M.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",115000,0,2017-06-30 12:16:27.372653
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189761,mc16_13TeV.423099.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP8_17.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",1000000,0,2017-06-30 12:16:27.374543
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189766,mc16_13TeV.423100.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP17_35.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",740000,0,2017-06-30 12:16:27.376096
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189770,mc16_13TeV.423101.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP35_50.recon.e3904_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",750000,0,2017-06-30 12:16:27.376749
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189774,mc16_13TeV.423102.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP50_70.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",1000000,0,2017-06-30 12:16:27.378725
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189778,mc16_13TeV.423103.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP70_140.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",965000,0,2017-06-30 12:16:27.381290
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189784,mc16_13TeV.423104.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP140_280.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",335000,0,2017-06-30 12:16:27.383076
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189788,mc16_13TeV.423105.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP280_500.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",330000,0,2017-06-30 12:16:27.384361
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189792,mc16_13TeV.423106.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP500_800.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",330000,0,2017-06-30 12:16:27.384945
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189796,mc16_13TeV.423107.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP800_1000.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",30000,0,2017-06-30 12:16:27.386229
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189801,mc16_13TeV.423108.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1000_1500.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",35000,0,2017-06-30 12:16:27.387392
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189805,mc16_13TeV.423109.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1500_2000.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",35000,0,2017-06-30 12:16:27.387910
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189809,mc16_13TeV.423110.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",35000,0,2017-06-30 12:16:27.388448
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189813,mc16_13TeV.423111.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2500_3000.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",35000,0,2017-06-30 12:16:27.389327
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189818,mc16_13TeV.423112.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP3000_inf.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",35000,0,2017-06-30 12:16:27.390939
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189822,mc16_13TeV.423200.Pythia8B_A14_CTEQ6L1_Jpsie3e3.recon.e3869_s3126_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1000000,0,2017-06-30 12:16:27.391403
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189826,mc16_13TeV.423201.Pythia8B_A14_CTEQ6L1_Jpsie3e8.recon.e3869_s3126_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1000000,0,2017-06-30 12:16:27.392525
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189830,mc16_13TeV.423202.Pythia8B_A14_CTEQ6L1_Jpsie3e13.recon.e3955_s3126_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1000000,0,2017-06-30 12:16:27.393564
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189839,mc16_13TeV.423211.Pythia8B_A14_CTEQ6L1_bb_Jpsie3e8.recon.e4364_s3126_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1000000,0,2017-06-30 12:16:27.396556
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189843,mc16_13TeV.423212.Pythia8B_A14_CTEQ6L1_bb_Jpsie3e13.recon.e4364_s3126_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1000000,0,2017-06-30 12:16:27.398622
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189847,mc16_13TeV.424100.Pythia8B_A14_CTEQ6L1_Jpsimu4mu4.recon.e3735_s3126_r9364,"2muon,BPhysics,MC16a_CP,Pythia8B,charmonium,inclusive",7665000,0,2017-06-30 12:16:27.399790
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189851,mc16_13TeV.424102.Pythia8B_A14_CTEQ6L1_Upsilon1S_mu4mu4.recon.e4293_s3126_r9364,"2muon,BPhysics,MC16a_CP,Pythia8B,bottomonium,inclusive",1665000,0,2017-06-30 12:16:27.400850
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189856,mc16_13TeV.424108.Pythia8B_A14_CTEQ6L1_Jpsimu6.recon.e5441_s3126_r9364,"2muon,BPhysics,MC16a_CP,Pythia8B,charmonium,inclusive",26665000,0,2017-06-30 12:16:27.402558
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194790,mc16_13TeV.301040.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_120M180.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",300000,0,2017-06-30 12:16:27.733410
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194823,mc16_13TeV.301044.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_600M800.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",300000,0,2017-06-30 12:16:27.738322
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194833,mc16_13TeV.301045.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_800M1000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",300000,0,2017-06-30 12:16:27.742559
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194844,mc16_13TeV.301046.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1000M1250.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",300000,0,2017-06-30 12:16:27.745055
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194855,mc16_13TeV.301047.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1250M1500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",300000,0,2017-06-30 12:16:27.747583
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194865,mc16_13TeV.301048.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1500M1750.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-30 12:16:27.749469
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194876,mc16_13TeV.301049.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1750M2000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",155000,0,2017-06-30 12:16:27.752018
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194890,mc16_13TeV.301050.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2000M2250.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",300000,0,2017-06-30 12:16:27.754584
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194911,mc16_13TeV.301052.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2500M2750.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-30 12:16:27.759089
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194921,mc16_13TeV.301053.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2750M3000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-30 12:16:27.762428
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194931,mc16_13TeV.301054.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3000M3500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-30 12:16:27.764793
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194943,mc16_13TeV.301055.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3500M4000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",265000,0,2017-06-30 12:16:27.767700
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194954,mc16_13TeV.301056.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4000M4500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",210000,0,2017-06-30 12:16:27.768221
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194964,mc16_13TeV.301057.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4500M5000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-30 12:16:27.769218
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194974,mc16_13TeV.301058.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_5000M.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-30 12:16:27.772507
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194984,mc16_13TeV.423099.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP8_17.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",1998700,0,2017-06-30 12:16:27.774144
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194996,mc16_13TeV.423100.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP17_35.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",1485200,0,2017-06-30 12:16:27.776549
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11195007,mc16_13TeV.423101.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP35_50.recon.e3904_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",1502200,0,2017-06-30 12:16:27.780232
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11195018,mc16_13TeV.423102.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP50_70.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",1997940,0,2017-06-30 12:16:27.783469
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11195030,mc16_13TeV.423103.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP70_140.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",1924000,0,2017-06-30 12:16:27.784651
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11195761,mc16_13TeV.423108.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1000_1500.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",64500,0,2017-06-30 12:16:27.862524
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11195766,mc16_13TeV.423107.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP800_1000.recon.e4453_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",65000,0,2017-06-30 12:16:27.863179
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11195839,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_s3136_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-30 12:16:27.865972
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11195844,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_s3136_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",299800,0,2017-06-30 12:16:27.867182
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11196965,mc16_13TeV.423106.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP500_800.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",667200,0,2017-06-30 12:16:27.889695
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11224335,mc16_13TeV.423105.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP280_500.recon.e3791_s3126_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",666800,0,2017-06-30 12:16:28.694313
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,aborted,11194812,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",0,0,2017-04-18 19:22:55.158817
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,aborted,11195757,mc16_13TeV.423105.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP280_500.recon.e3791_s3126_s3136_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",0,0,2017-04-21 07:18:45.780294
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11189834,mc16_13TeV.423210.Pythia8B_A14_CTEQ6L1_bb_Jpsie3e3.recon.e4364_s3126_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",998000,0,2017-06-30 12:16:27.394763
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11194801,mc16_13TeV.301042.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_250M400.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",294000,0,2017-06-30 12:16:27.735273
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195657,mc16_13TeV.423109.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1500_2000.recon.e4453_s3126_s3136_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",63300,0,2017-06-30 12:16:27.834652
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195671,mc16_13TeV.423110.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500.recon.e4453_s3126_s3136_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",63800,0,2017-06-30 12:16:27.842338
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195680,mc16_13TeV.423111.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2500_3000.recon.e4453_s3126_s3136_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",63400,0,2017-06-30 12:16:27.844245
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195691,mc16_13TeV.423112.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP3000_inf.recon.e4453_s3126_s3136_r9364,"GammaJets,MC16a_CP,Pythia8EvtGen,QCD,egamma,jets,performance,photon",63400,0,2017-06-30 12:16:27.844995
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195701,mc16_13TeV.423200.Pythia8B_A14_CTEQ6L1_Jpsie3e3.recon.e3869_s3126_s3136_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1961900,0,2017-06-30 12:16:27.845760
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195712,mc16_13TeV.423201.Pythia8B_A14_CTEQ6L1_Jpsie3e8.recon.e3869_s3126_s3136_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1963700,0,2017-06-30 12:16:27.848287
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195719,mc16_13TeV.423202.Pythia8B_A14_CTEQ6L1_Jpsie3e13.recon.e3955_s3126_s3136_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1974800,0,2017-06-30 12:16:27.849998
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195724,mc16_13TeV.423210.Pythia8B_A14_CTEQ6L1_bb_Jpsie3e3.recon.e4364_s3126_s3136_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1974800,0,2017-06-30 12:16:27.852328
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195731,mc16_13TeV.423211.Pythia8B_A14_CTEQ6L1_bb_Jpsie3e8.recon.e4364_s3126_s3136_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1961800,0,2017-06-30 12:16:27.854538
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,finished,11195735,mc16_13TeV.423212.Pythia8B_A14_CTEQ6L1_bb_Jpsie3e13.recon.e4364_s3126_s3136_r9364,"2electron,BPhysics,MC16a_CP,Pythia8B,charmonium,egamma,inclusive",1269700,0,2017-06-30 12:16:27.855553
